"נעים להכיר, מוֹרָן תְּסַדֵּר 
פתחתי גוגל שיטס מתעדכן לתועלת הציבור עם הטבות מתעדכנות. מאגר ההטבות נבנה לטובת הקהילה. הכי נח לפתוח מהדסקטופ (הוספנו גם רוסית!)
---> איך עובדים עם הקובץ כך שזה יהיה הכי יעיל עבורך?                                                                                                                                                                                                                                                                                                                      
ניתן להשתמש בפילטר על מנת לקבל את המידע שרלוונטי אליכם, זהו קובץ בעבודה.                                                                                        
צפו בסרטון  איך עושים פילטר (סינון) לטבלה:                                                                                             
לא בא לכם סרטון? לכו לפי ההוראות פה- איך עושים פילטר-לוחצים על הטור ""למי זה""-  הולכים לסרגל למעלה -לוחצים על DATA (השישי משמאל)- ואז CREATE FILTER VIEW ואז מפלטרים לפי מה שרלוונטי לכם בטור (למי זה, קטגוריה וכן הלאה). 
יש מספר קטגוריות, ההטבה הכי מעודכנת היא זו שבתחתית כל קטגוריה- כדי שיהיה לכם/ן נח.  תסננו לפי למי ההטבה או לפי קטגוריה או לפי תאריך או לפי משרד ממשלתי.                                                                                                        
תמיד אפשר לעשות CTRL F אם מחפשים משהו ספציפי .מי שמעדיף את ה-Airtable- לכו ללינק הזה                                                                                                         
                                                                                           ",,,,,,,,,,,,,,,,,,,,,,,,,
קישור לעמוד העסקי,קישור לטלגרם ,קישור לואטסאפ- תשאלו חופשי,,,,,,,,,,,,,,,,,,,,,,,
,דיסקליימר חשוב: אין לראות בתוכן זה המלצה/ ייעוץ. תודה רבה לצביקה אבנרי ולמורד שטרן על העזרה.,,,,,,,,,,,,,,,,,,,,,,,,
Post ID,למי זה ,קטגוריה,תת קטגוריה,שם המשרד/ הארגון,לינק לפרטים ,מתי עודכן ,פרטים (האותיות הקטנות),Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26
,,קבלת קהל,מוקד חירום,,,,,,,,,,,,,,,,,,,,,,
6,"כולם, ""תקועים בחו""""ל"", נפגע בית 🏠, נפגע רכב 🚗, נפגע עסק 💼, עובדים, מעסיקים, נפגעי גוף / נפש, עצמאים/ות, אנשים פרטיים",זכויות,מוקד חירום,"מערך הדיגיטל ומשרד רוה""מ",https://www.gov.il/he/departments/il-emergency-services/govil-landing-page,19/06/2025,"""כל השירותים החיוניים בישראל – במקום אחד: דשבורד ממשלתי חדש נפתח לציבור הרחב עם כל המידע החיוני לאזרחים- הדשבורד הוא חלק מהיערכות הלאומית להתמודדות עם מצב החירום, ומונגש לציבור באופן פשוט ונוח – בטלפון הנייד ובמחשב. 

הדשבורד הוקם ביוזמת ובליווי רשות החירום הלאומית (רח״ל) פותח ומתוחזק על ידי מערך הדיגיטל הלאומי, בשיתוף ומערך ההסברה הלאומי במשרד ראש הממשלה, ומכיל בשלב זה מידע מתעדכן ואינטראקטיבי מטעם משרד הבריאות, משרד הכלכלה ובנק ישראל, כאשר שירותי משרדים נוספים יועלו בהמשך. 

לחצו כאן לכניסה לפורטל שירותים חיוניים ומפת השירותים החיוניים בישראל:
https://www.gov.il/he/departments/il-emergency-services/govil-landing-page""",,,,,,,,,,,,,,,,,,
7,"נפגעי פעולות איבה, נפגע בית 🏠, עצמאים/ות",זכויות,אתר מרכז זכויות,מערך הדיגיטל הלאומי,https://www.facebook.com/share/v/16UFcffVLN/,19/06/2025,"טופס מאוד חשוב:
ביתכם נפגע כתוצאה ממצב החירום? 
אתם לא לבד .
התחברו למערכת ׳יחד׳ ומלאו את הטופס לדיווח עצמי, כך תוכלו לעדכן את משרדי הממשלה והרשות המקומית במצבכם ובצרכים שלכם על מנת שנוכל לסייע לכם.
📌 כדאי לדעת: במיוחד בימים אלו מומלץ לבצע הרשמה למערכת הזדהות לאומית, כדי שתוכלו להתחבר לשירותי הממשלה מהדיגיטל בקלות ובמהירות. 
למילוי הטופס במערכת יחד >> https://www.gov.il/he/service/yachad",,,,,,,,,,,,,,,,,,
8,"נפגעי גוף / נפש, נפגע רכב 🚗, נפגע בית 🏠, נפגע עסק 💼",זכויות,אתר מרכז זכויות,כיוונים,https://www.kivunimrights.com/,19/06/2025,"אתר מעולה שנותן מידע על כל  הזכאויות וצ'קליסט מעודכן איך להתקדם: ריכזנו את המידע הרלוונטי ועשינו בו סדר: 
מיינו את הזכויות לפי סוג המקרה 
פירטנו את הפעולות שצריך לבצע כדי לממש את הזכויותסידרנו את הפעולות לפי סדר הדחיפות
הוספנו הנחיות מדויקות לביצוע
השימוש במערכת לא דורש הזדהות, אלא רק תשובות לכמה שאלות על מצבך, כך שהפרטיות שלך נשמרת",,,,,,,,,,,,,,,,,,
9,"מעסיקים, עצמאים/ות",זכויות והטבות לעסקים/עצמאיים,אתר מרכז זכויות,מערך הדיגיטל הלאומי,https://www.gov.il/apps/digital/business-benefits,24/06/2025,"שאלון עם 5 שלבים- מתחילים פה- תצטרכו למלא את מה שרלוונטי לם ואפשר יותר מתשובה אחת- האם נגרם נזק לעסק עקב המצב הבטחוני (מלחמת ""חרבות ברזל"", מבצע ""עם כלביא"" ואירועים אחרים? 
איפה נמצא העסק?
מה היה המחזור של העסק בשנת 2023?
איזה מהאפשרויות רלוונטית לעסק?
לאיזה ענף שייך העסק?
ואז לוחצים המשך להצגת ההטבות לא לדלג!
",,,,,,,,,,,,,,,,,,
10,"נשים, אנשים פרטיים, נפגעי גוף / נפש, נפגעי פעולות איבה, עובדים, מעסיקים, ""תקועים בחו""""ל""",זכויות,מוקד חירום,הרשות לקידום מעמד האישה,https://www.facebook.com/photo/?fbid=1132634432231640&set=a.477648547730235,20/06/2025,"כל נערה ואישה בכל רשות מקומית/מועצה אזורית יכולה לפנות ליועצת לקידום מעמד האישה על מנת להציף אתגרים עימם היא מתמודדת וקבל מענה/חיבור לגורמים הרלוונטיים במגוון נושאים כגון: תעסוקה, חינוך והשכלה, ייצוג הולם, מניעת אלימות, זכויות, מידע ובריאות. 
לפרטי התקשרות עם היועצות לקידום מעמד האישה היכנסו ללינק המצורף 👇https://www.gov.il/he/pages/local_authorities_consultants_contact_info?fbclid=IwY2xjawLCUntleHRuA2FlbQIxMABicmlkETFhTjRIZG5sRjZ4MUR3UGJ4AR5R_h5HSx1h2myItHUxUKn5iW0iHKuu_13YvXq_QcmqBfoA2mYgSt2ZWmEd0w_aem_hQqfYcZp6Ke-WeGWXdheWA ",,,,,,,,,,,,,,,,,,
